gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,associate's degree,standard,completed,96,98,97
female,group C,some college,standard,completed,82,84,87
female,group C,associate's degree,standard,none,69,72,74
female,group B,high school,standard,none,47,60,55
female,group E,some high school,standard,none,82,83,85
male,group B,high school,standard,none,69,72,68
female,group A,master's degree,free/reduced,none,55,68,67
male,group C,associate's degree,standard,completed,59,63,66
male,group C,associate's degree,standard,completed,92,86,89
female,group D,some college,standard,none,71,73,66
male,group E,some high school,free/reduced,completed,74,65,67
male,group D,some college,standard,completed,90,96,96
male,group C,some college,standard,none,84,72,76
female,group C,some college,free/reduced,completed,62,81,80
male,group D,bachelor's degree,standard,none,77,70,66
female,group D,some high school,free/reduced,completed,70,77,78
female,group A,associate's degree,standard,none,62,57,57
male,group C,some high school,free/reduced,none,61,65,58
male,group C,some high school,standard,none,60,48,52
female,group D,high school,standard,none,71,76,73
male,group B,master's degree,standard,none,75,61,60
male,group C,high school,free/reduced,none,44,53,46
female,group B,high school,free/reduced,completed,58,70,73
female,group D,some college,standard,none,61,72,65
female,group B,high school,standard,none,54,75,73
female,group D,high school,standard,none,74,80,73
male,group D,some high school,free/reduced,none,35,27,24
male,group A,some college,free/reduced,none,40,37,33
female,group E,bachelor's degree,standard,none,79,74,75
male,group C,some college,standard,completed,73,68,67
male,group E,some college,standard,none,93,75,73
male,group D,some college,standard,none,51,44,43
male,group C,some college,standard,completed,86,78,80
male,group B,associate's degree,free/reduced,completed,86,90,84
male,group D,master's degree,free/reduced,completed,95,84,90
male,group C,bachelor's degree,free/reduced,completed,69,66,66
male,group C,bachelor's degree,standard,none,58,60,65
female,group C,bachelor's degree,standard,completed,76,100,98
female,group C,some college,standard,completed,68,68,72
female,group E,high school,standard,none,69,75,71
female,group E,associate's degree,standard,completed,70,79,80
female,group C,associate's degree,free/reduced,none,35,49,49
female,group C,master's degree,standard,completed,75,85,83
male,group C,high school,free/reduced,none,68,65,55
male,group D,associate's degree,standard,completed,85,94,96
male,group C,high school,standard,completed,93,94,97
male,group D,master's degree,standard,completed,67,64,67
female,group C,some high school,free/reduced,none,55,70,65
female,group A,some high school,standard,none,50,59,58
female,group B,master's degree,free/reduced,none,62,72,78
male,group C,associate's degree,free/reduced,completed,55,48,56
female,group D,high school,standard,completed,66,83,86
male,group E,some college,standard,none,57,53,42
female,group B,bachelor's degree,standard,none,57,60,64
male,group B,some college,standard,none,82,67,63
male,group C,high school,standard,none,70,71,61
male,group C,some high school,standard,none,53,56,49
female,group B,associate's degree,free/reduced,none,40,55,53
male,group A,master's degree,free/reduced,completed,89,86,91
female,group C,some college,standard,none,83,82,88
female,group D,some college,free/reduced,completed,41,55,57
male,group D,bachelor's degree,free/reduced,none,70,73,68
female,group E,some high school,standard,completed,76,80,81
male,group B,some high school,standard,none,69,69,68
female,group C,master's degree,free/reduced,completed,49,55,59
male,group D,associate's degree,standard,completed,92,82,85
male,group B,master's degree,standard,completed,98,100,98
female,group D,some high school,standard,none,75,70,72
male,group C,bachelor's degree,standard,completed,60,49,50
male,group B,bachelor's degree,standard,none,90,91,85
male,group C,some high school,free/reduced,none,49,49,39
female,group D,some college,standard,none,59,75,78
female,group B,bachelor's degree,standard,none,73,80,88
male,group C,some college,free/reduced,none,79,83,77
male,group C,high school,free/reduced,completed,63,69,63
female,group D,master's degree,free/reduced,none,69,78,83
female,group C,associate's degree,standard,none,52,61,66
male,group A,some high school,standard,completed,54,48,46
female,group E,associate's degree,standard,completed,100,100,100
male,group C,bachelor's degree,standard,none,60,66,62
female,group D,associate's degree,free/reduced,none,56,70,65
male,group A,master's degree,standard,none,75,80,69
male,group C,some high school,standard,completed,79,80,75
male,group B,master's degree,standard,none,72,70,74
male,group B,some college,free/reduced,none,59,60,58
female,group E,some high school,standard,none,62,72,67
male,group C,some high school,standard,none,86,72,65
male,group C,high school,standard,completed,80,86,81
male,group D,high school,standard,none,79,78,72
male,group D,bachelor's degree,standard,none,84,78,78
female,group D,some high school,standard,none,80,81,88
male,group D,high school,free/reduced,completed,72,75,79
male,group E,some college,standard,none,67,53,51
male,group C,some college,standard,none,68,60,58
male,group C,bachelor's degree,standard,none,74,66,60
male,group D,associate's degree,free/reduced,none,49,56,54
male,group D,bachelor's degree,standard,none,65,69,60
female,group B,some high school,free/reduced,none,59,74,65
male,group B,some college,standard,completed,93,80,79
female,group D,associate's degree,free/reduced,completed,63,83,87
male,group D,some college,standard,none,71,64,63
female,group B,master's degree,standard,none,73,88,87
female,group E,high school,standard,completed,93,98,98
female,group C,bachelor's degree,free/reduced,none,44,61,56
male,group B,some college,free/reduced,completed,54,49,52
female,group D,some college,free/reduced,completed,63,76,78
male,group E,master's degree,standard,none,57,47,49
male,group D,some college,standard,none,83,75,81
male,group D,some high school,free/reduced,completed,64,62,61
male,group D,some high school,standard,completed,63,60,58
male,group B,high school,standard,completed,64,54,47
female,group E,bachelor's degree,standard,none,83,87,91
female,group D,some college,free/reduced,none,68,82,77
female,group B,some college,standard,none,55,62,62
male,group C,associate's degree,free/reduced,none,84,77,74
female,group D,high school,free/reduced,none,42,49,51
female,group D,associate's degree,standard,none,48,49,54
male,group B,some college,standard,none,60,52,49
female,group D,high school,standard,completed,95,100,100
female,group C,some college,standard,completed,41,58,58
male,group C,some high school,standard,none,45,36,33
female,group E,high school,standard,none,89,100,98
male,group D,bachelor's degree,standard,none,83,76,79
male,group C,some college,free/reduced,completed,61,53,59
male,group C,some high school,standard,none,79,77,71
male,group C,some college,free/reduced,none,47,49,40
male,group B,associate's degree,standard,completed,73,71,71
male,group C,associate's degree,standard,none,66,65,56
female,group D,associate's degree,standard,completed,88,96,100
female,group C,some high school,standard,none,60,70,66
male,group B,associate's degree,standard,completed,57,57,54
male,group B,associate's degree,free/reduced,none,61,60,56
male,group A,associate's degree,free/reduced,none,63,62,63
female,group C,some college,standard,none,68,72,78
male,group D,some college,standard,completed,89,88,87
female,group D,some college,standard,completed,89,90,99
male,group B,some high school,free/reduced,none,57,59,52
male,group C,bachelor's degree,standard,none,71,64,64
male,group B,some college,standard,none,71,66,66
female,group D,master's degree,free/reduced,none,62,67,72
female,group D,some college,free/reduced,completed,66,65,83
male,group C,high school,standard,none,71,67,60
female,group D,high school,standard,completed,87,100,100
female,group D,high school,free/reduced,completed,53,68,68
female,group D,some college,standard,none,91,91,96
male,group A,high school,standard,none,58,66,55
male,group B,high school,standard,none,57,48,44
female,group C,some college,standard,none,67,75,67
female,group A,some high school,standard,none,75,74,77
female,group B,high school,standard,none,73,81,78
male,group C,master's degree,standard,completed,99,94,92
male,group D,associate's degree,free/reduced,none,78,73,75
female,group D,bachelor's degree,standard,none,81,91,90
male,group D,some college,free/reduced,none,59,57,49
male,group E,some high school,free/reduced,none,65,58,51
female,group E,associate's degree,standard,none,89,97,92
male,group C,associate's degree,standard,completed,87,88,83
female,group A,associate's degree,free/reduced,none,58,70,70
female,group E,some college,free/reduced,completed,55,66,66
female,group C,some high school,free/reduced,completed,58,69,71
female,group D,high school,standard,none,60,64,58
male,group A,associate's degree,standard,completed,98,85,95
female,group C,associate's degree,free/reduced,none,63,70,67
male,group A,associate's degree,standard,completed,52,58,59
female,group D,high school,free/reduced,none,70,77,74
male,group B,high school,free/reduced,none,75,71,66
female,group B,associate's degree,standard,none,62,63,64
female,group B,some high school,free/reduced,none,38,40,46
male,group D,master's degree,standard,none,83,84,74
male,group C,some high school,free/reduced,completed,80,90,81
female,group D,bachelor's degree,standard,none,82,81,87
male,group C,some college,standard,none,57,48,49
male,group B,some college,standard,completed,70,76,71
male,group D,some college,standard,none,60,56,60
female,group D,some high school,standard,completed,65,71,69
female,group C,some college,free/reduced,none,36,46,46
female,group B,bachelor's degree,standard,completed,50,74,77
female,group D,high school,standard,completed,80,83,88
female,group C,some college,standard,none,74,81,79
female,group C,associate's degree,standard,completed,76,79,79
female,group C,some college,standard,none,72,70,67
male,group C,some college,standard,none,65,57,59
male,group D,some college,free/reduced,none,57,61,59
male,group B,associate's degree,free/reduced,completed,75,76,74
female,group C,high school,standard,none,50,58,55
female,group C,high school,standard,completed,64,71,76
female,group D,some college,standard,completed,95,100,100
male,group E,some high school,free/reduced,none,63,65,56
female,group C,associate's degree,free/reduced,none,52,63,66
female,group E,some college,standard,completed,100,100,100
male,group E,some college,free/reduced,none,52,49,39
female,group C,associate's degree,standard,none,87,96,98
male,group C,some high school,standard,completed,74,77,75
female,group A,high school,standard,none,76,78,78
male,group B,some high school,free/reduced,none,60,65,55
male,group E,high school,standard,none,96,84,78
female,group A,some high school,standard,completed,62,75,76
male,group D,some college,standard,completed,86,86,85
female,group E,associate's degree,standard,completed,66,77,78
female,group B,some college,standard,completed,52,57,61
female,group C,some college,standard,completed,91,100,100
male,group C,associate's degree,standard,completed,67,68,70
male,group C,associate's degree,standard,none,61,58,55
male,group C,some high school,free/reduced,none,57,51,52
male,group C,some high school,standard,completed,72,75,70
female,group B,some high school,standard,completed,88,95,94
male,group E,bachelor's degree,standard,none,96,77,82
male,group C,associate's degree,standard,completed,58,69,62
male,group B,some high school,standard,completed,64,63,62
male,group B,some college,free/reduced,none,54,60,56
male,group E,bachelor's degree,free/reduced,none,56,49,44
female,group E,high school,free/reduced,none,63,79,77
male,group D,some high school,standard,none,59,54,50
female,group C,high school,free/reduced,completed,59,62,62
female,group C,some college,free/reduced,none,41,49,41
female,group E,associate's degree,standard,none,75,70,75
male,group B,some high school,free/reduced,none,53,55,44
female,group C,associate's degree,standard,none,69,74,75
female,group C,master's degree,standard,none,93,87,96
male,group C,master's degree,free/reduced,completed,79,82,78
male,group E,master's degree,standard,none,98,94,88
male,group C,some high school,standard,none,64,58,54
female,group D,high school,free/reduced,none,46,54,52
male,group A,high school,free/reduced,none,48,50,36
female,group D,some college,free/reduced,none,78,91,88
male,group E,some college,standard,none,90,79,70
male,group D,some college,standard,none,89,86,82
male,group B,high school,standard,none,82,75,67
male,group C,bachelor's degree,standard,none,73,68,67
female,group C,bachelor's degree,standard,none,75,79,85
female,group D,associate's degree,standard,none,73,97,97
female,group B,high school,standard,none,68,71,69
male,group D,associate's degree,standard,none,76,79,77
female,group D,some high school,standard,completed,48,59,59
female,group E,bachelor's degree,free/reduced,none,87,95,95
female,group D,high school,free/reduced,completed,70,75,76
female,group B,some college,free/reduced,completed,45,73,65
male,group B,associate's degree,standard,completed,92,92,91
female,group E,some high school,standard,none,63,69,69
male,group C,high school,standard,completed,58,47,52
female,group B,associate's degree,free/reduced,none,57,73,71
male,group D,some college,standard,none,61,60,59
female,group B,associate's degree,free/reduced,none,68,75,78
female,group B,high school,standard,completed,79,98,93
male,group A,some college,standard,none,67,66,60
male,group E,some college,free/reduced,none,67,67,61
male,group D,some college,free/reduced,none,73,68,72
male,group D,some high school,free/reduced,none,53,43,42
female,group B,associate's degree,free/reduced,completed,62,69,72
male,group E,some high school,standard,none,100,94,83
female,group C,bachelor's degree,free/reduced,none,67,84,83
male,group C,some college,standard,none,69,70,67
male,group D,some high school,free/reduced,none,56,61,58
male,group B,high school,free/reduced,none,46,54,52
female,group A,some college,standard,completed,59,71,76
female,group C,master's degree,free/reduced,none,53,71,70
male,group C,some college,free/reduced,none,30,38,32
female,group B,associate's degree,free/reduced,none,51,58,55
male,group B,some college,standard,none,73,73,71
female,group C,some college,standard,none,53,58,62
male,group C,some college,standard,none,68,61,58
male,group C,high school,free/reduced,none,48,49,39
male,group B,high school,free/reduced,completed,75,77,73
male,group B,some high school,free/reduced,none,33,29,23
male,group C,bachelor's degree,free/reduced,none,53,61,48
female,group B,high school,standard,completed,88,100,100
female,group D,bachelor's degree,standard,none,77,78,80
female,group D,some college,free/reduced,none,32,54,55
male,group E,some high school,standard,completed,83,77,76
male,group D,associate's degree,standard,none,87,75,80
male,group A,some high school,standard,none,53,50,38
female,group E,high school,standard,none,76,83,88
male,group C,some high school,free/reduced,none,75,72,58
female,group C,some high school,free/reduced,none,41,52,50
male,group B,some college,standard,none,58,64,57
female,group B,some college,standard,none,58,58,59
male,group C,associate's degree,free/reduced,none,42,56,52
female,group D,some college,free/reduced,none,22,51,47
male,group D,some college,standard,none,64,51,51
female,group B,some high school,free/reduced,none,39,53,45
female,group D,associate's degree,standard,none,50,60,55
female,group B,some college,standard,none,81,91,88
male,group B,high school,free/reduced,none,57,57,50
male,group B,some high school,standard,none,87,82,75
female,group B,some high school,free/reduced,none,42,61,57
male,group D,associate's degree,standard,completed,89,72,80
female,group D,high school,standard,none,87,82,86
female,group D,associate's degree,standard,none,81,88,100
male,group C,high school,standard,none,72,74,71
male,group B,bachelor's degree,standard,none,84,73,75
female,group C,some high school,standard,completed,81,100,100
male,group B,some college,free/reduced,none,57,65,60
male,group C,some college,free/reduced,none,48,49,42
male,group D,associate's degree,standard,completed,97,99,98
female,group E,some college,standard,completed,67,69,75
male,group C,some college,standard,none,65,59,52
male,group D,master's degree,standard,none,93,98,91
female,group E,some high school,free/reduced,none,76,80,83
female,group C,some college,free/reduced,completed,65,76,77
female,group C,some college,standard,none,45,52,53
male,group C,high school,standard,completed,93,86,93
male,group D,some college,standard,none,70,69,61
male,group B,associate's degree,free/reduced,none,78,82,73
male,group A,associate's degree,standard,none,58,62,54
male,group E,some college,free/reduced,none,80,68,63
female,group C,some college,standard,completed,91,100,100
male,group C,some college,free/reduced,none,36,48,43
male,group B,bachelor's degree,standard,completed,76,88,91
male,group E,bachelor's degree,standard,none,84,73,74
male,group B,bachelor's degree,free/reduced,completed,49,46,43
male,group B,high school,free/reduced,completed,37,35,33
male,group D,associate's degree,standard,none,93,92,93
male,group C,associate's degree,standard,completed,91,79,84
female,group A,some high school,standard,none,53,66,63
male,group D,high school,free/reduced,none,75,57,63
male,group B,some high school,standard,completed,85,81,75
female,group D,some college,free/reduced,none,69,87,77
female,group C,master's degree,free/reduced,completed,60,79,79
female,group D,some college,free/reduced,none,45,53,56
female,group C,master's degree,free/reduced,none,81,95,88
male,group E,some college,free/reduced,completed,70,75,71
female,group D,associate's degree,standard,none,52,66,64
male,group C,some high school,free/reduced,none,64,58,54
female,group D,some high school,free/reduced,none,67,78,77
male,group E,some college,free/reduced,none,84,88,82
male,group B,high school,standard,completed,88,82,77
male,group C,bachelor's degree,standard,completed,73,73,72
male,group D,high school,standard,none,74,74,70
male,group C,some high school,standard,none,32,32,29
female,group C,some high school,free/reduced,none,63,69,64
male,group B,associate's degree,standard,none,84,68,67
male,group C,some high school,standard,none,70,73,63
female,group D,some high school,free/reduced,none,66,66,71
female,group D,some high school,standard,completed,73,82,84
female,group C,high school,free/reduced,none,50,59,53
male,group A,bachelor's degree,free/reduced,completed,78,83,82
female,group C,bachelor's degree,free/reduced,none,58,70,71
male,group E,high school,standard,none,78,73,65
female,group D,some high school,free/reduced,completed,52,66,76
female,group E,some high school,standard,none,58,61,55
female,group C,some college,standard,completed,56,87,88
male,group C,bachelor's degree,standard,completed,91,77,86
female,group D,high school,standard,completed,68,58,71
male,group D,master's degree,standard,none,91,82,85
female,group D,associate's degree,standard,none,57,71,71
female,group A,some college,standard,none,52,63,58
male,group D,associate's degree,standard,none,83,87,80
male,group C,associate's degree,standard,none,61,48,47
male,group C,master's degree,free/reduced,completed,75,79,78
female,group B,master's degree,free/reduced,completed,68,73,76
female,group E,bachelor's degree,standard,none,80,76,74
female,group C,bachelor's degree,standard,completed,71,77,84
male,group B,associate's degree,standard,none,69,58,52
female,group E,associate's degree,standard,none,80,75,76
male,group B,associate's degree,standard,none,90,75,76
male,group D,some college,standard,completed,100,96,100
female,group D,associate's degree,standard,none,70,75,73
male,group E,master's degree,free/reduced,none,78,78,70
female,group C,some college,standard,completed,80,93,96
male,group B,master's degree,standard,none,71,67,62
female,group C,some college,standard,completed,87,92,94
female,group E,associate's degree,free/reduced,completed,66,81,73
female,group C,associate's degree,free/reduced,completed,88,87,92
male,group D,some college,standard,none,80,75,73
female,group C,high school,free/reduced,none,50,61,56
male,group D,high school,free/reduced,completed,56,54,51
male,group D,bachelor's degree,standard,completed,58,61,63
female,group B,some high school,standard,none,80,85,80
male,group C,bachelor's degree,standard,none,74,72,66
male,group A,some high school,standard,none,67,69,58
male,group C,some high school,standard,completed,63,65,60
male,group C,high school,standard,completed,65,77,75
male,group D,some college,free/reduced,none,63,60,53
male,group C,bachelor's degree,standard,none,76,75,68
female,group D,some high school,standard,none,65,67,72
male,group C,bachelor's degree,standard,none,87,82,83
male,group C,some high school,standard,none,64,61,62
male,group D,bachelor's degree,standard,none,76,78,75
female,group C,high school,standard,none,74,87,86
female,group D,associate's degree,free/reduced,completed,80,90,96
male,group C,some college,standard,completed,80,77,75
female,group C,bachelor's degree,free/reduced,completed,60,78,78
male,group B,associate's degree,standard,none,64,66,60
male,group E,bachelor's degree,free/reduced,none,51,55,44
female,group A,associate's degree,standard,none,58,57,63
female,group C,some college,free/reduced,completed,55,71,69
male,group C,associate's degree,standard,completed,83,82,80
male,group C,high school,standard,none,75,71,68
female,group A,high school,standard,none,50,58,57
female,group D,bachelor's degree,standard,none,88,88,89
female,group D,associate's degree,standard,none,81,84,81
male,group E,some college,standard,none,42,35,37
male,group D,associate's degree,standard,none,75,60,61
male,group D,associate's degree,standard,completed,96,80,86
female,group C,bachelor's degree,free/reduced,none,58,57,57
male,group B,bachelor's degree,standard,none,90,82,82
male,group D,associate's degree,standard,none,55,51,52
female,group C,bachelor's degree,free/reduced,none,64,69,71
female,group C,high school,free/reduced,none,62,88,81
male,group C,master's degree,standard,none,78,71,70
female,group E,high school,free/reduced,none,74,73,68
female,group C,high school,standard,none,78,93,85
female,group D,associate's degree,standard,none,74,87,90
female,group B,high school,standard,none,69,87,88
female,group D,some high school,free/reduced,none,54,52,54
female,group B,associate's degree,standard,none,77,81,75
female,group E,master's degree,free/reduced,none,74,87,84
female,group C,high school,free/reduced,none,30,41,46
male,group B,some college,standard,completed,55,51,46
male,group C,some college,standard,completed,73,74,71
female,group C,some college,standard,completed,66,76,79
female,group C,associate's degree,standard,none,64,80,74
male,group A,associate's degree,standard,completed,70,64,66
female,group D,associate's degree,standard,completed,68,86,89
male,group C,bachelor's degree,standard,none,58,57,60
female,group C,high school,standard,none,68,71,68
female,group B,bachelor's degree,standard,none,62,66,63
male,group D,some high school,standard,none,68,46,54
male,group C,bachelor's degree,free/reduced,none,64,57,55
female,group C,some high school,standard,none,66,76,70
male,group D,associate's degree,standard,none,97,83,88
female,group B,some high school,free/reduced,none,58,67,58
male,group D,some high school,free/reduced,completed,56,46,50
female,group D,some college,free/reduced,none,18,32,32
female,group C,some college,standard,none,54,42,47
female,group E,some college,standard,none,67,77,67
female,group C,some college,standard,completed,74,80,79
male,group B,some high school,standard,none,90,71,71
male,group C,high school,free/reduced,none,55,53,49
male,group B,some college,standard,none,63,60,52
female,group D,master's degree,standard,completed,92,93,100
female,group C,some high school,free/reduced,completed,76,86,89
male,group C,some high school,free/reduced,none,30,40,36
male,group C,some college,standard,none,69,79,75
female,group C,high school,standard,none,83,78,77
female,group D,some college,standard,none,85,93,92
male,group D,high school,standard,completed,89,85,85
female,group D,high school,standard,none,76,83,82
male,group D,high school,free/reduced,none,70,74,69
male,group C,some college,standard,none,87,82,79
male,group C,bachelor's degree,standard,none,54,47,44
female,group E,bachelor's degree,free/reduced,none,91,90,90
female,group B,high school,standard,completed,77,86,83
female,group E,some college,standard,completed,72,82,87
female,group B,some high school,standard,none,71,77,74
female,group C,associate's degree,standard,none,63,64,60
female,group B,some high school,standard,none,61,70,61
female,group A,some high school,standard,none,71,63,70
female,group C,associate's degree,free/reduced,completed,79,94,92
female,group B,some college,standard,none,42,48,49
male,group B,associate's degree,standard,none,66,66,63
male,group B,bachelor's degree,standard,completed,40,47,42
female,group C,some high school,free/reduced,none,58,71,68
male,group C,some high school,free/reduced,none,45,39,38
male,group D,some high school,standard,none,57,52,48
female,group B,associate's degree,free/reduced,none,52,63,59
female,group B,high school,standard,completed,82,89,94
male,group B,associate's degree,free/reduced,none,63,57,52
female,group D,some college,standard,none,78,82,88
female,group D,associate's degree,standard,none,51,66,57
female,group C,some college,standard,none,71,78,76
female,group D,associate's degree,standard,none,92,90,92
male,group A,high school,standard,completed,93,89,94
male,group C,high school,standard,completed,83,90,89
male,group C,some college,standard,none,63,59,60
male,group C,some high school,standard,completed,70,70,73
female,group C,associate's degree,free/reduced,completed,72,80,88
male,group B,some college,standard,none,58,52,52
female,group A,high school,standard,none,49,62,52
female,group A,high school,standard,none,46,56,51
male,group D,master's degree,standard,none,76,66,63
male,group E,associate's degree,standard,none,83,72,72
female,group D,associate's degree,standard,completed,84,96,100
female,group E,some high school,free/reduced,completed,41,52,53
female,group D,associate's degree,standard,completed,67,72,81
male,group E,associate's degree,standard,none,64,51,48
female,group B,bachelor's degree,standard,none,70,72,73
female,group C,master's degree,standard,none,53,57,58
male,group C,master's degree,standard,none,58,52,50
male,group C,high school,free/reduced,completed,49,42,43
male,group E,some college,standard,none,78,62,59
male,group D,some college,standard,none,63,61,55
female,group B,some high school,free/reduced,none,47,70,65
female,group D,some college,free/reduced,none,75,72,76
female,group E,master's degree,free/reduced,none,61,65,72
female,group A,high school,free/reduced,completed,36,54,54
female,group C,some college,free/reduced,none,71,75,69
female,group D,some high school,free/reduced,none,67,74,75
female,group C,high school,standard,none,69,79,73
female,group A,some high school,standard,completed,73,81,82
female,group C,some high school,standard,none,50,54,54
female,group C,some high school,free/reduced,completed,66,74,67
female,group E,some college,standard,none,49,66,67
female,group E,associate's degree,standard,none,69,76,76
female,group C,high school,standard,none,75,78,72
male,group D,bachelor's degree,standard,none,76,74,69
male,group B,associate's degree,standard,none,80,79,80
male,group B,some college,standard,none,43,48,48
male,group D,associate's degree,standard,none,84,75,72
male,group E,some college,free/reduced,none,79,75,67
male,group C,bachelor's degree,standard,none,78,82,80
male,group B,master's degree,standard,completed,99,95,95
female,group D,high school,standard,completed,67,69,68
female,group B,associate's degree,standard,none,71,71,71
female,group D,some college,standard,completed,85,89,92
female,group D,some college,standard,none,50,55,55
female,group C,bachelor's degree,standard,completed,84,91,100
female,group C,some college,free/reduced,none,67,77,78
male,group A,some high school,free/reduced,none,42,49,37
male,group D,high school,free/reduced,completed,53,59,48
female,group C,some high school,free/reduced,completed,49,50,55
female,group B,bachelor's degree,standard,none,76,80,75
female,group C,some high school,free/reduced,none,42,51,45
female,group D,associate's degree,standard,none,62,65,63
female,group B,high school,standard,none,70,74,71
female,group E,master's degree,free/reduced,none,66,69,68
female,group D,associate's degree,standard,completed,72,78,84
female,group C,bachelor's degree,standard,completed,70,89,87
female,group B,some college,free/reduced,completed,45,62,60
female,group D,some college,standard,none,66,77,74
female,group E,associate's degree,standard,none,81,87,81
female,group B,associate's degree,standard,completed,62,61,61
female,group E,high school,standard,none,75,87,85
female,group D,some high school,free/reduced,completed,62,80,82
female,group C,some high school,standard,none,70,72,67
male,group C,associate's degree,standard,completed,56,54,58
male,group A,associate's degree,standard,none,66,62,60
male,group C,associate's degree,standard,completed,87,87,88
male,group A,high school,standard,none,84,90,81
female,group A,bachelor's degree,standard,none,60,69,67
male,group C,some high school,free/reduced,none,53,48,41
male,group C,associate's degree,standard,none,71,54,55
female,group D,some college,standard,completed,72,82,84
female,group B,high school,standard,none,61,64,63
female,group C,some college,standard,completed,77,83,84
female,group D,bachelor's degree,free/reduced,none,49,56,56
male,group C,some college,standard,completed,83,90,90
male,group B,some college,standard,completed,72,81,79
male,group B,some college,standard,none,81,75,73
female,group C,some high school,standard,none,56,57,57
male,group D,high school,free/reduced,completed,59,69,62
female,group B,master's degree,free/reduced,completed,46,62,65
male,group D,bachelor's degree,standard,none,97,93,88
male,group C,some high school,standard,completed,95,85,91
female,group C,associate's degree,standard,completed,76,78,83
female,group C,some college,standard,none,60,72,67
female,group B,some college,free/reduced,none,64,69,68
male,group C,bachelor's degree,standard,none,93,85,86
male,group B,master's degree,standard,none,83,75,78
female,group C,associate's degree,standard,none,55,70,67
female,group C,high school,free/reduced,none,46,50,53
male,group A,some high school,standard,none,56,53,56
male,group B,high school,standard,none,67,69,63
female,group B,some college,standard,completed,67,73,75
female,group C,some college,free/reduced,none,58,62,59
female,group E,high school,standard,none,93,91,89
male,group C,high school,standard,none,68,63,55
male,group A,high school,standard,none,69,66,57
female,group E,some college,standard,completed,89,79,87
female,group C,some high school,free/reduced,none,56,70,69
female,group D,high school,free/reduced,none,41,46,48
male,group C,high school,standard,none,55,55,51
male,group C,high school,free/reduced,none,58,43,46
female,group C,bachelor's degree,standard,completed,72,88,82
male,group E,high school,standard,none,63,68,61
male,group B,some high school,standard,completed,83,77,76
female,group D,some high school,free/reduced,completed,68,84,85
female,group C,associate's degree,standard,completed,64,76,76
female,group D,bachelor's degree,free/reduced,none,58,66,60
female,group C,some college,standard,none,52,69,66
male,group C,bachelor's degree,standard,none,66,66,60
male,group D,some college,standard,none,59,51,49
male,group D,some high school,standard,completed,78,72,74
female,group B,some high school,standard,none,63,76,68
male,group B,some college,free/reduced,none,56,54,42
female,group D,some college,free/reduced,completed,35,47,52
female,group C,some college,standard,none,71,80,75
female,group D,associate's degree,free/reduced,none,42,62,57
male,group D,high school,free/reduced,completed,79,83,80
female,group D,high school,standard,none,81,88,87
male,group A,high school,standard,none,52,47,48
female,group E,bachelor's degree,standard,none,83,83,82
male,group D,high school,standard,none,45,28,31
female,group A,master's degree,standard,completed,78,88,88
male,group A,some college,free/reduced,none,61,56,62
female,group B,associate's degree,standard,none,69,81,79
male,group C,some college,free/reduced,completed,68,64,69
female,group C,some college,standard,none,55,65,60
male,group D,some college,standard,none,67,59,56
male,group D,master's degree,standard,none,91,79,79
female,group D,some high school,standard,none,57,61,65
female,group C,some high school,free/reduced,none,55,67,57
male,group B,high school,standard,completed,72,72,66
male,group C,bachelor's degree,standard,none,82,87,83
male,group C,some high school,free/reduced,none,67,82,65
female,group D,some college,standard,none,56,69,72
male,group B,some high school,standard,none,68,66,55
female,group D,associate's degree,standard,none,93,100,100
female,group C,some high school,free/reduced,none,46,69,65
female,group C,high school,free/reduced,completed,75,94,85
female,group C,some college,free/reduced,none,56,58,60
male,group B,associate's degree,standard,none,90,73,77
female,group E,some college,standard,none,86,71,71
male,group D,associate's degree,standard,none,92,89,83
female,group E,associate's degree,free/reduced,none,80,96,92
female,group C,some college,free/reduced,completed,50,64,67
male,group E,some college,standard,none,79,76,72
female,group B,some high school,free/reduced,none,53,67,57
male,group C,some college,standard,none,50,49,43
male,group D,high school,free/reduced,completed,48,49,46
male,group A,some high school,standard,completed,60,62,60
female,group C,high school,standard,none,58,60,60
female,group C,some college,free/reduced,none,72,82,76
female,group D,some high school,standard,none,69,69,67
female,group C,bachelor's degree,free/reduced,completed,77,88,91
male,group C,high school,standard,none,80,82,78
female,group A,some high school,standard,completed,55,71,74
female,group A,associate's degree,standard,none,86,85,86
female,group A,bachelor's degree,free/reduced,none,55,54,56
female,group B,high school,standard,none,78,97,92
female,group C,high school,standard,none,47,63,62
female,group E,some high school,standard,completed,86,82,89
male,group D,some college,standard,completed,76,80,76
female,group C,master's degree,standard,none,82,95,85
male,group C,high school,free/reduced,completed,80,80,74
male,group E,bachelor's degree,free/reduced,completed,56,52,55
female,group D,high school,standard,none,81,86,84
female,group C,some high school,standard,none,50,51,53
female,group D,some high school,standard,none,60,59,58
male,group A,bachelor's degree,standard,none,59,61,55
male,group C,high school,standard,none,39,38,39
female,group B,some college,standard,none,64,75,70
male,group E,high school,free/reduced,none,72,67,69
male,group B,master's degree,free/reduced,completed,55,59,60
male,group A,associate's degree,standard,none,85,84,88
female,group C,associate's degree,standard,none,73,80,80
female,group D,some college,standard,completed,71,74,82
male,group C,some college,standard,none,72,61,53
male,group B,some high school,standard,none,73,73,63
male,group D,some college,standard,none,87,82,75
